license_no,company,state,postcode,phone,address,license_year,osa_code
MALLP20261129,Tropika TMed Sdn. Bhd.,Selangor,68100,0361280040,"53 & 54, Jalan Indah 10E, Taman Perindustrian Selayang Indah, , BATU CAVES",2026,1138106
MALLP20261413,ENVIROTECH INDUSTRY SDN BHD,Perak,31600,053511999,"LOT 9840, MUKIM TEJA, KAMPUNG PINTU PADANG, , GOPENG",2026,1104853
MALLP20261126,RAYSON LABORATORIES SDN BHD,Selangor,48000,0362720553,"NO. 20, JALAN KESIDANG 1, RCI PARK, KAWASAN PERINDUSTRIAN SG CHOH, RAWANG",2026,1120123
MALLP20261125,KIN HERBS PHARMA SDN BHD,W.P. Kuala Lumpur,52200,03-62767758,"NO. 4, JALAN KIP 10, TAMAN PERINDUSTRIAN KIP, , KEPONG",2026,2328
MALLP20261216A,Thye Pharma Sdn. Bhd,Pulau Pinang,14000,04-5017666/04-5017667,"No. 2, Lorong Industri Ringan Permatang Tinggi 8, Kawasan Industri Ringan Permatang Tinggi, , BUKIT MERTAJAM",2026,940044
MALLP20261127,NATURE`S HEALTH PRODUCTS (M) SDN. BHD.,Selangor,42920,03-3324 6733 / 016-2296733,"NO. 186, JALAN PERIGI NANAS 8/15, PULAU INDAH INDUSTRIAL PARK, , WEST PORT",2026,49858
MALLP20261124,TST BIOCEUTICAL SDN. BHD.,Perak,30100,605-5292020,"No. 30, Jalan Perindustrian Silibin 1, Kawasan Perindustrian Ringan Silibin, , IPOH",2026,1019801
MALLP20261411,WEN JIANG MEDICAL INDUSTRIES SDN. BHD.,Perak,30100,055268811,"NO. 70, LENGKOK RISHAH 2, KAWASAN PERINDUSTRIAN SILIBIN, , IPOH",2026,74955
MALLP20260632,LEN FA MEDICAL SUPPLIES (M) SDN BHD,Selangor,47000,603-61573232,"LOT 41, JALAN BRP 9/2B, KAWASAN PERINDUSTRIAN TAMAN BUKIT RAHMAN PUTRA, , SUNGAI BULOH",2026,2847
MALLP20260267,J.B. PHARMACY GROUP SDN. BHD.,Kedah,05400,04-7713086,"628, KAWASAN PERUSAHAAN TANDOP BARU, , , ALOR SETAR",2026,1872
MALLP20260118,21ST CENTURY PRODUCTS SDN. BHD.,Selangor,47500,03-56325041,"NO. 9, JALAN SS 13/6A, , , SUBANG JAYA",2026,56919
MALLP20260213A,N.S. LABORATORY SDN. BHD.,Negeri Sembilan,70300,06-6013035,"54, Jalan S2C2, Green Technology Park, , Seremban 2, , SEREMBAN",2026,1144074
MALLP20260113,RADIUS LABORATORY SUPPLEMENT,Kedah,09100,01151327212,"NO. 1-3, BENGKEL PEKAN BARU, PEKAN KAMPUNG LALANG, , BALING",2026,1271378
MALLP20260154A,Shennong Animal Health (Malaysia) Sdn. Bhd.,Selangor,47610,03-80114646,"No. 2, 4, 6, 8 & 10, Jalan Industri USJ 1/19, Taman Perindustrian USJ 1, SUBANG JAYA",2026,1125279
MALLP20260112,HERBAL SCIENCE SDN. BHD.,Selangor,47300,03 - 77850689,"NO. 2A, JALAN SS8/6, SG. WAY FREE INDUSTRIAL ZONE, , PETALING JAYA",2026,1192466
MALLP20260115,HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,"NO. 100, JALAN PJS 3/5, , PETALING JAYA",2026,1020270
MALLP20260469A,DUOPHARMA (M) SENDIRIAN BERHAD,Selangor,41200,603-33231368,"LOT 2599, JALAN SERULING 59,, KAWASAN 3, TAMAN KLANG JAYA,, , KLANG",2026,1020100
MALLP20260117,BESFOMEC INDUSTRIES SDN. BHD.,Melaka,78000,606-5562709 / 017-5806522,"LOT 1, KAWASAN PERINDUSTRIAN ALOR GAJAH III, , ALOR GAJAH",2026,1282
MALLP20260114,HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,"NO. 21, JALAN PJS 3/1, , PETALING JAYA",2026,1274
MALLP20260963,Dong Foong Manufacturing Sdn Bhd,Selangor,43000,0387415657,"NO. 40 & 42, JALAN SEKSYEN 1/21, TAMAN KAJANG UTAMA,, , , KAJANG",2026,1020253
MALLP20260340,Rising Sun Enrich Sdn Bhd,Selangor,43300,0395479927,"No. 8, Jalan Equine 1H, Pusat Komersial Equine, Taman Equine Park, , SERI KEMBANGAN",2026,1110272
MALLP20260088,Sun Beans Foods Industries Sdn. Bhd.,Pulau Pinang,14000,04-5888620,"7, 9, 11, Lorong Pala 4, Kawasan Perindustrian RIngan Permatang Tinggi,, , , BUKIT MERTAJAM",2026,1020223
MALLP20260156A,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,Selangor,43650,03-89242188,"LOT NO. 2 & 4,, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE, BANDAR BARU BANGI",2026,518
MALLP20260157,Leung Kai Fook Medical Sdn. Bhd.,Johor,80350,072668088,"No. 2, Jalan Asas, Larkin Industrial Estate, , JOHOR BAHRU",2026,1020252
MALLP20260087A,BIOCON SDN BHD,Johor,79200,6075600000,"No. 1, Jalan Bioteknologi 1, Kawasan Perindustrian SiLC, , ISKANDAR PUTERI",2026,953573
MALLP20260120,DCH CONTRACT MANUFACTURING SDN. BHD.,Selangor,40300,0355416600,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, , SHAH ALAM",2026,5415
MALLP20260891,MAESTRO BIOTECH SDN BHD,Johor,84800,0126106218,"NO. 14, JALAN PERINDUSTRIAN, TAMAN PERINDUSTRIAN BUKIT GAMBIR, , TANGKAK",2026,1020266
MALLP20260463,SEUTIC PACK SDN BHD.,W.P. Kuala Lumpur,52100,0362773244,"LOT 4C8-4C9 & 4C12, TINGKAT 4, ANZEN BUSINESS PARK, JALAN 4/37A, TAMAN BUKIT MALURI, KEPONG, KUALA LUMPUR",2026,56758
MALLP20260238,INTAN BIOTECH INDUSTRIES SDN BHD,Kelantan,16100,0133184318,"PT 2498, JALAN 5/44, KAWASAN PERINDUSTRIAN PENGKALAN CHEPA II, , KOTA BHARU",2026,1319268
MALLP20260234,SERI MH UMMI SDN BHD,Kelantan,16100,09-7742490,"BT2, KAWASAN PERINDUSTRIAN KIK MARA (FASA II), JALAN PADANG TEMBAK, PENGKALAN CHEPA, KOTA BHARU",2026,4481
MALLP20260239A,Fresenius Medical Care Production Sdn Bhd,Negeri Sembilan,71760,"016-5095263, 06-79525962","LOT 34618, PT 29466, TECHPARK @ ENSTEK, , BANDAR ENSTEK",2026,999773
MALLP20260948,TIGER BALM (M) SDN. BHD.,Johor,81100,607-2891166,"PLO 95, NO. 6, JALAN FIRMA 1/1, TEBRAU INDUSTRIAL ESTATE, JOHOR BAHRU",2026,1023082
MALLP20260398,YI WANG HONEY GARDEN (M) SDN. BHD.,Selangor,43500,03-87232398,"NO.12, JALAN P2/19, SEKSYEN 2            , BANDAR TEKNOLOGI KAJANG, , SEMENYIH",2026,56905
MALLP20260294A,RANBAXY (MALAYSIA) SDN. BHD.,Kedah,08000,04 4220660/04 4220661,"LOT 23, BAKAR ARANG INDUSTRIAL ESTATE, , , SUNGAI PETANI",2026,712
MALLP20260730A,DKSH MALAYSIA SDN. BHD.,Selangor,40400,03-7966 0288,"No. 3, Jalan Sepintas 26/13, HICOM Industrial Estate, Seksyen 26, SHAH ALAM",2026,945700
MALLP20260236,SHIN LI TRADING,Johor,85000,07-9321603,"NO. 8 ,JALAN CENGAL, TAMAN KAMPUNG ABDULLAH, , SEGAMAT",2026,3445
MALLP20260233,KEDAI UBAT JOO FATT HO CHEE MENG,Johor,81300,0197539313,"NO. 12, JALAN SHAH BANDAR 1, TAMAN UNGKU TUN AMINAH, , JOHOR BAHRU",2026,1020221
MALLP20260235A,PAHANG PHARMACY SDN. BHD.,Selangor,41050,03-33931978,"LOT 5979, JALAN TERATAI , 5 1/2 MILE, OFF JALAN MERU, , KLANG",2026,681
MALLP20260369,S.H. UNIFLEX CHINESE MEDICAL FACTORY SDN BHD,Johor,81200,07-2371988,"NO. 21A, JALAN LAMBAK, TAMAN JOHOR LIGHT INDUSTRIAL ESTATE, , JOHOR BAHRU",2026,3539
MALLP20260726A,AIN MEDICARE SDN. BHD.,Kelantan,16100,09-7743388,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2, , KOTA BHARU",2026,1019483
MALLP20260151,FAIR-FAIRLY ENTERPRISE,Negeri Sembilan,71010,06-6517133,"NO. 19, JALAN SEREMBAN, BATU 6, TAMAN PERINDUSTRIAN LUKUT BARU, , LUKUT",2026,1019765
MALLP20260237,MOH PHARMACEUTICAL TECHNOLOGIES SDN. BHD.,Selangor,40150,03-78461186,"NO. 18, 20 & 22, JALAN APOLLO U5/187, BANDAR PINGGIRAN SUBANG, , SHAH ALAM",2026,1668
MALLP20261521A,Life Biopharma Sdn. Bhd.,Negeri Sembilan,70200,067642168,"No. 250-251, Jalan Industri Galla 13, Kawasan Perindustrian Galla, , SEREMBAN",2026,939045
MALLP20260116,PRO STISOL MANUFACTURING,Johor,86000,077877044,"NO. 7 & 9, JALAN MALINJA 8, TAMAN PERINDUSTRIAN MATAHARI, , KLUANG",2026,944470
MALLP20260091,HONG YANG HOO PHARMA SDN BHD,Pulau Pinang,11960,04-2619267,"8, LINTANG BERINGIN 11, DIAMOND VALLEY, , BAYAN LEPAS",2026,1117532
MALLP20260030,NUTRI-HOME PHARMACEUTICAL INDUSTRIES SDN. BHD.,Selangor,47510,03-56379896,"NO. 12,14 & 16, JALAN TS 6/2, TAMAN INDUSTRI SUBANG, , SUBANG JAYA",2026,3546
MALLP20260022,WELLMETECH PHARMACEUTICAL INDUSTRIES SDN BHD,Sarawak,94300,016-8946599,"LOT 8058, KOTA SAMARAHAN INDUSTRIAL PARK, , , SAMARAHAN",2026,56871
MALLP20261117A,INSPIRAPHARMA SDN. BHD.,Kedah,08000,04-4213011,"LOT 24 & 25, JALAN 8, KAWASAN PERUSAHAAN BAKAR ARANG, , SUNGAI PETANI",2026,1019774
MALLP20260029,WENG LI SDN. BHD.,W.P. Kuala Lumpur,56000,03-92070888,"NO. 2 & 4, PERSIARAN 1/118C, DESA TUN RAZAK INDUSTRIAL PARK II, , KUALA LUMPUR",2026,75104
MALLP20260155A,HOE PHARMACEUTICALS SDN. BHD.,Selangor,42000,03-31767822,"LOT 10, JALAN SULTAN MOHAMED 6, BANDAR SULTAN SULEIMAN, , PORT KLANG",2026,69652
MALLP20260019,SYARIKAT WEN KEN DRUG SDN. BHD.,Johor,81200,072371115 ext 186 / 016-4111755,"NO. 24, JALAN LAMBAK, TAMAN JOHOR, , JOHOR BAHRU",2026,1105124
MALLP20260432,THE ORIGIN FOODS SDN. BHD.,Selangor,47100,03-8066 9141,"LOT 1, JALAN INDUSTRI PBP 11, TAMAN PERINDUSTRIAN PUSAT BANDAR PUCHONG, , PUCHONG",2026,1395
MALLP20260433,THE ORIGIN FOODS SDN. BHD.,Selangor,47120,0380900335,"NO. 11, JALAN MJ 16, TAMAN MERANTI JAYA, , PUCHONG",2026,1023113
MALLP20260026,PEMBEKALAN UBAT HUATHAI SDN. BHD.,Johor,81200,07-2377353,"NO. 17, JALAN BANANG 3 , TAMAN JOHOR, , JOHOR BAHRU",2026,838
MALLP20260044,VAIL-BON MEDICAL FACTORY SDN. BHD.,Pulau Pinang,14100,04-2612100,"NO.1,, LORONG MENGKUDU 1, , TAMAN MENGKUDU, JURU, S.P.T",2026,1019663
MALLP20260002,BRAND8 NUTRACEUTICAL SDN. BHD.,Selangor,42200,0332928178,"NO. 29 & 31, JALAN BESTARI 3/KU7, TAMAN PERINDUSTRIAN KAPAR BESTARI, , KLANG",2026,1138445
MALLP20260028,WAN YEEN TRADING SDN. BHD.,Perak,31400,05-5463939,"NO. 24, PERSIARAN INDUSTRI BERCHAM 11, KAWASAN PERINDUSTRIAN RINGAN BERCHAM, , IPOH",2026,1019599
MALLP20260150A,Osmosis Nutrition Sdn Bhd,Negeri Sembilan,71800,06-7999090,"Lot 16014 (PT24341), Jalan Nilam 3, Bandar Nilai Utama, , NILAI",2026,942828
MALLP20260023A,Noripharma Sdn. Bhd.,Selangor,41050,603-33926013,"LOT 5030, JALAN TERATAI, 5 1/2 MILE OFF JALAN MERU, , , KLANG",2026,1020114
MALLP20260003,NOVA LABORATORIES SDN. BHD.,Selangor,43950,012-6275423,"LOT 708, NOVA AVENUE, BATU 4, SUNGAI PELEK,, , , SEPANG",2026,1019466
MALLP20260027,Q-PACK (M) SDN. BHD.,Selangor,40150,03-55692641,"NO. 2, JALAN PERUNDING U1/17, HICOM-GLENMARIE INDUSTRIAL PARK, SEKSYEN U1, SHAH ALAM",2026,1020131
MALLP20260025,EXCLUSIVE MARK (M) SDN BHD,Selangor,40150,03-55692641,"NO. 2, JALAN PERUNDING U1/17,, HICOM-GLENMARIE INDUSTRIAL PARK,, SEKSYEN U1, , SHAH ALAM",2026,1019733
MALLP20260024,GANO EXCEL INDUSTRIES SDN BHD,Kedah,06000,04-9172888,"LOT 2774,, LEBUHRAYA BUKIT KAYU HITAM,, PEKAN ASUN, JITRA",2026,1017353
MALLP20260070,Carsis Pharma,Johor,83020,019-7857056,"19,Jalan Sri Sulong 1,, Taman Industri Seri Sulong,, , BATU PAHAT",2026,935175
MALLP20260089A,DYNAPHARM (M) SDN. BHD.,Pulau Pinang,13600,04-3904092,"2497, MK. 1, LORONG PERUSAHAAN BARU 5, KAWASAN PERUSAHAAN PERAI 3, , PERAI",2026,847
MALLP20261213,CS PROGYMS PHARMACEUTICAL SDN. BHD.,Selangor,48000,03-60921993,"LOT 23, RAWANG INDUSTRIAL ESTATE, JALAN RP3, 17TH MILES, , RAWANG",2026,1650
MALLP20260395A,HOVID BERHAD,Perak,31200,05-5060690,"LOT 56442, 7 1/2 MILES , JALAN IPOH/CHEMOR, , CHEMOR",2026,1034487
MALLP20260071A,KOTRA PHARMA (M) SDN. BHD.,Melaka,75250,06-3362222,"NO. 1, 2 & 3, JALAN TTC 12, CHENG INDUSTRIAL ESTATE, ,",2026,715
MALLP20260152,Sky Nutraceuticals Sdn. Bhd.,Pulau Pinang,14100,045015188,"LOT 4397 (PT 379), JALAN PERINDUSTRIAN BUKIT MINYAK 7, KAWASAN PERINDUSTRIAN BUKIT MINYAK, , BUKIT MERTAJAM",2026,1113903
MALLP20260371A,HOVID BERHAD,Perak,30010,05-5060690,"121, JALAN TUNKU ABDUL RAHMAN (JALAN KUALA KANGSAR), , IPOH",2026,792
MALLP20260045,DXN PHARMACEUTICAL SDN. BHD.,Kedah,06000,604-9161288,"LOT 1109, MUKIM MALAU, , DAERAH KUBANG PASU,, , JITRA",2026,649
MALLP20260090,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11960,604-6430766,"NO. 5 & 7, HALA BERINGIN, DIAMOND VALLEY INDUSTRIAL PARK, BAYAN LEPAS",2026,1314547
MALLP20260232A,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11900,604-6430766,"PLOT 61, BAYAN LEPAS INDUSTRIAL PARK, PHASE 4, LINTANG BAYAN LEPAS 1, BAYAN LEPAS",2026,1019503
MALLP20260119,ORI BIONATURE (M) SDN BHD,Selangor,47120,03-58889626,"NO. 5, JALAN MJ 16, TAMAN INDUSTRI MERANTI JAYA, , PUCHONG",2026,1105449
MALLP20260158A,NOVUGEN ONCOLOGY SDN. BHD.,Negeri Sembilan,71760,0138128862,"No. 47, Jalan Lengkuk Teknologi 2, Taman Teknologi Enstek Fasa 1, Techpark@Enstek, BANDAR ENSTEK",2026,1187779
MALLP20260153A,NOVUGEN PHARMA SDN. BHD.,Negeri Sembilan,71760,60355618220,"NO. 27, JALAN LENGKUK TEKNOLOGI 2, TAMAN TEKNOLOGI ENSTEK FASA 1, , BANDAR BARU ENSTEK",2026,1155383
MALLP20260214,EAGLE & PAGODA BRAND TECK AUN MEDICAL FACTORY SDN.BHD.,Pulau Pinang,14100,604-5088888,"686-686A, JALAN PERINDUSTRIAN BUKIT MINYAK, TAMAN PERINDUSTRIAN BUKIT MINYAK,, , , BUKIT MERTAJAM",2026,1019543
MALLP20260549,QD HERBS SDN. BHD.,Perak,31500,05-3220733,"NO. 1, 3 & 5, PERSIARAN PERINDUSTRIAN PENGKALAN 35,, TAMAN PERINDUSTRIAN SRI PENGKALAN,, JALAN LAHAT, IPOH",2026,75242
MALLP20260001A,PHARMAFORTE (MALAYSIA) SDN. BHD.,Selangor,47810,03-78036998,"NO. 2, JALAN PJU 3/49 , SUNWAY DAMANSARA, , PETALING JAYA",2026,1205506
MALLP20260822,DS Pharma Herbs Sdn. Bhd.,Kedah,06000,04-9183907,"LOT 54,  IKS KEDA NAPOH, , , JITRA",2026,1020222
MALLP20260550,APB STANDARD SDN. BHD.,Selangor,43000,03-87032020,"LOT 6, JALAN RIA 3, KAWASAN PERINDUSTRIAN RIA, BATU 18, OFF JALAN SEMENYIH, , , KAJANG",2026,1019907
MALLP20260509,HO POH ONN MEDICAL HALL (M) SDN. BHD.,Johor,81800,012-7900715,"24, JALAN MAJU 4, TAMAN PERINDUSTRIAN CEMERLANG, , ULU TIRAM",2026,1019642
MALLP20260465,WCW MEDICINE FACTORY (M) SDN. BHD.,Pulau Pinang,14100,0174946368,"30 & 32, Lorong Pala 6, Kawasan Industri Ringan, Permatang Tinggi, , , SIMPANG AMPAT",2026,1269780
MALLP20260462,BAN AN TSI COMPANY SDN. BHD.,Pulau Pinang,11960,04-6263513,"NO. 24, LINTANG BERINGIN 6, OFF JALAN PERMATANG DAMAR LAUT, , BATU MAUNG",2026,3894
MALLP20260468,LUEN FOOK MEDICINE SDN. BHD,Johor,81750,07-3882388,"NO.6, JALAN SRI PLENTONG 5, TAMAN PERINDUSTRIAN SRI PLENTONG,, , , MASAI",2026,1019554
MALLP20260461,ERA HERBAL PRODUCTS SDN. BHD.,Selangor,47000,+6012-318 2993 /+6012-356 6999,"NO. 8, JALAN S.B. JAYA 5, TAMAN INDUSTRI S.B. JAYA, , SUNGAI BULOH",2026,10543
MALLP20260464,SENG LIAN TRADING,Perak,30020,0125030672,"NO. 20-22 , JALAN JELAPANG MAJU 4, TAMAN PERINDUSTRIAN JELAPANG MAJU, , IPOH",2026,56750
MALLP20260504,Sweet Heart Food Industries Sdn Bhd,Melaka,78000,063163335,"Lot 200, Jalan Industri Rembia 6, Kawasan Perindustrian Rembia (Melaka World Solar Valley), ALOR GAJAH",2026,1111781
MALLP20261340,Gas Pantai Timur Sdn Bhd,Kelantan,16100,097738331,"LOT 104 &105, KAWASAN PERINDUSTRIAN PENGKALAN CHEPA FASA 1, , KOTA BHARU",2026,1310213
MALLP20260956,Gas Pantai Timur Sdn Bhd,Perak,31600,053572814,"Lot 300733 & 300734, Jalan Industri 3/2,, Kawasan Perindustrian Gopeng,, , GOPENG",2026,1271388
MALLP20260695A,TERAPUTICS SDN BHD,Pulau Pinang,14100,04-5880519,"LOT 10 & 11, PERDA INDUSTRIAL PARK, LORONG IKS SIMPANG AMPAT B, , SIMPANG AMPAT",2026,3183
MALLP20260551,MY MYRACLE SDN. BHD.,Selangor,43500,0387237988,"Lot 4089, Jalan P4/8, , Seksyen 4, Bandar Teknologi Kajang, , SEMENYIH",2026,1186864
MALLP20260436,GN NEUTRICEUTICALS SDN. BHD.,Selangor,47620,603-80116375,"NO. 17, JALAN TP3, SIME UEP INDUSTRIAL PARK, , SUBANG JAYA",2026,2040
MALLP20260952A,Peritone Health Sdn. Bhd.,Kedah,09090,0194751697,"LOT 12, INDUSTRIAL ZONE PHASE 4,, KULIM HI-TECH PARK, , KULIM",2026,1115548
MALLP20260660,Zhulian Nutraceutical Sdn. Bhd.,Pulau Pinang,11900,04-6162828,"Plot 3, Bayan Lepas Free Industrial Zone, Phase IV, , BAYAN LEPAS",2026,1020111
MALLP20260430,INTAN BIOTECH INDUSTRIES SDN BHD,Kelantan,16100,0129704010,"BT 18, KAWASAN PERINDUSTRIAN KIK MARA FASA II, JALAN PADANG TEMBAK, PENGKALAN CHEPA, , KOTA BHARU",2026,1161419
MALLP20260466,TIN FATT THONG MEDICAL MANUFACTURING SDN BHD,Selangor,48000,60193157723,"NO.36, JALAN VELOX 2, TAMAN INDUSTRIES VELOX, , , RAWANG",2026,1019722
MALLP20260467,ORIENT LABORATORIES SDN. BHD.,Selangor,68100,03-61388306,"NO. 37, JALAN PS 3, TAMAN INDUSTRI PRIMA SELAYANG, , BATU CAVES",2026,403
MALLP20260639,Ming Yi Holding Sdn Bhd,Selangor,43300,0389437662,"NO. 12, JALAN PBJ 2/2, TAMAN PERINDUSTRIAN BALAKONG JAYA, , SERI KEMBANGAN",2026,1143089
MALLP20260638,GOODMAID CHEMICALS CORPORATION SDN. BHD.,Negeri Sembilan,70400,06-6771337,"Lot 27B, Lorong Bunga Tanjung 3/1, Senawang Industrial Park, , SEREMBAN",2026,1116098
MALLP20260727A,IKOP PHARMA SDN. BHD.,Pahang,25200,+6095704960,"Jalan Sultan Ahmad Shah, Bandar Indera Mahkota, , KUANTAN",2026,942826
MALLP20261447,SYAMELATI INDUSTRIES SDN. BHD.,Kelantan,16100,097718674,"BT 3, KAWASAN PERINDUSTRIAN MARA FASA 2, PENGKALAN CHEPA, , KOTA BHARU",2026,932355
MALLP20260506,THIALLAN BIOHERBS SDN. BHD.,Selangor,47500,03-56326314,"No. 5, Jalan SS 13/6B, Subang Industrial Estate, , SUBANG JAYA",2026,1019464
MALLP20260892,Linde EOX Sdn Bhd,Sarawak,93450,082 340966,"Lot 36, Section 66, Jalan Peteri, Bintawa Industrial Estate, KUCHING",2026,1204030
MALLP20261123,Linde EOX Sdn Bhd,Sarawak,98008,085-653 507,"Lot 1525, Block 3, Piasau Industrial Estate, MCLD, MIRI",2026,1204528
MALLP20260865,Linde EOX Sdn Bhd,Sarawak,96008,084-212093,"No. 27, Lorong Sukun 28, Jalan Upper Lanang, , SIBU",2026,1204530
MALLP20260895,Linde Gas Products Malaysia Sdn Bhd,Selangor,42700,0351912959,"No. 1, Jalan Graphite 3, Kawasan Perindustrian Bandar Mahkota, , BANTING",2026,1203931
MALLP20260866,Linde Malaysia Sdn. Bhd.,Pulau Pinang,13600,0351912959,"2026, JALAN PERUSAHAAN, KAWASAN PERUSAHAAN PERAI, , PERAI",2026,1204526
MALLP20260505,THIAN SENG TONG (M) SDN. BHD.,Melaka,75350,0126210778,"No. 10, Jalan Jasa Merdeka 8, Taman Datuk Tamby Chik Karim, ,",2026,1326352
MALLP20260553,POON GOOR SOE MANUFACTURE SDN. BHD.,Melaka,75350,063191668,"NO 5, JALAN IKS M4 TAMAN IKS MERDEKA, BATU BERENDAM,, , ,",2026,1020264
MALLP20260510A,Y.S.P. INDUSTRIES (M) SDN. BHD.,Selangor,43000,03-89251215,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, , KAJANG",2026,78
MALLP20260951,MISB RESOURCES SDN. BHD.,Kedah,05150,04-7301006,"277, LORONG PERAK 14, , KAWASAN PERINDUSTRIAN MERGONG,, , ALOR SETAR",2026,3196
MALLP20260674A,AV MANUFACTURING SDN.BHD,Negeri Sembilan,71800,06-7941071,"LOT 10621 (PT 16700), JALAN PERMATA 2, ARAB MALAYSIAN INDUSTRIAL PARK, , NILAI",2026,1019803
MALLP20260641,GREEN CARE MANUFACTURE,W.P. Kuala Lumpur,56000,0391322905,"No. 66, Jalan Nadchatiram, Taman Taynton View, , CHERAS",2026,1127208
MALLP20260435,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.,Kedah,05400,04-7354840,"NO. 104 & 105, JALAN TIMOR 6, MERGONG BARRAGE, LENCONG BARAT, ALOR SETAR",2026,9933
MALLP20260780,NG CHUAN HENG,Perak,32040,0135019389,"NO. 62 (LOT 35607), KAWASAN PERINDUSTRIAN SRI MANJUNG, MUKIM SETIAWAN, MANJUNG",2026,1310858
MALLP20260460,PHYTES BIOTEK SDN. BHD.,Selangor,40150,603-55691100,"LOT 21, JALAN U1/19, SECTION U1, HICOM GLENMARIE INDUSTRIAL PARK, , SHAH ALAM",2026,4577
MALLP20260315,LIONG YEH HIN MEDICAL HALL SDN BHD,Sarawak,96000,"084-332206, 084-346840","NO. 35A & 35B, JALAN TAPAH, SUNGAI MERAH INDUSTRIAL ESTATE, , SIBU",2026,2769
MALLP20260396,DIAMOND MEDICAL COMPANY,Pulau Pinang,14100,04-5871871,"NO. 59, LORONG ASAS JAYA 5, KAWASAN PERINDUSTRIAN ASAS JAYA, , BUKIT MERTAJAM",2026,1019677
MALLP20260293,BTY WORLDWIDE SDN.BHD.,Selangor,45620,03-32791773,"NO. 1546, JALAN HARMONI 4, IJOK, BESTARI JAYA",2026,1112146
MALLP20260507A,Pelangi Vet Pharma Sdn. Bhd.,Pulau Pinang,14100,04-5880519,"Lot 8, Perda Industrial Park, Lorong IKS Simpang Ampat B, , SIMPANG AMPAT",2026,1037188
MALLP20260393,ECOLITE BIOTECH MANUFACTURING SDN BHD,Johor,83400,07-4850055,"LOT 9284 & 9285,, JALAN YONG PENG, , SRI MEDAN, BATU PAHAT",2026,10308
MALLP20260295A,WINWA MEDICAL SDN. BHD.,Pulau Pinang,14000,04-5079784,"1952, Lorong I.K.S. Bukit Minyak 3, Taman I.K.S. Bukit Minyak, , BUKIT MERTAJAM",2026,945200
MALLP20260555,EDMARK INDUSTRIES SDN BHD,Selangor,47180,03 - 80752233,"No. 20, Jalan BK 1/13, Kinrara Industrial Park, , PUCHONG",2026,943164
MALLP20260292,YOKNESS SDN. BHD.,Johor,81800,078615727,"NO. 14, JALAN TIRAM 3, TAMAN PERINDUSTRIAN TIRAM, ULU TIRAM",2026,1157843
MALLP20260370A,PRIME PHARMACEUTICAL SDN. BHD.,Pulau Pinang,14000,04-5074787,"1505, LORONG PERUSAHAAN UTAMA 1, TAMAN PERINDUSTRIAN BUKIT TENGAH, , BUKIT MERTAJAM",2026,1019471
MALLP20260268,TAT SEO HEALTH FACTORY PLT,Selangor,68100,03-61921888,"16 & 18 JALAN SBC 5, , TAMAN SRI BATU CAVES,, , BATU CAVES",2026,1153843
MALLP20260391,MICHELLE LAZAR INTERNATIONAL SDN BHD,Johor,81100,607-3525235,"NO. 2, JALAN EKOPERNIAGAAN 1/27, TAMAN EKOPERNIAGAAN, , JOHOR BAHRU",2026,1133008
MALLP20260266,CHING CHING MEDICINE MANUFACTURER,Selangor,48300,603-60213973,"NO. 15 & 17, JLN SERI PAGI 3B, SEKSYEN BS3, BUKIT SENTOSA, , , RAWANG",2026,1019647
MALLP20260345,IE Lab Traditional Sdn Bhd,W.P. Kuala Lumpur,58200,0122890025,"Lot 1747, No. 12, Jalan Medan Ramah, Happy Garden, Off Jalan Klang Lama, , KUALA LUMPUR",2026,69735
MALLP20260893,SHANGHAI CHATLIN PHARMACEUTICAL COMPANY,Selangor,43500,03-87256077,"25 & 26, JALAN VILLARAYA 2/3, VILLARAYA INDUSTRIAL PARK II, SUNGAI LALANG, SEMENYIH",2026,5584
MALLP20260437,BIOVERSE SDN. BHD.,Selangor,40460,0378029060,"NO. 3, TINGKAT BAWAH, 1 & 2, JALAN SUNGAI KAYU ARA 32/38, BERJAYA INDUSTRIAL PARK, SEKSYEN 32, SHAH ALAM",2026,1323371
MALLP20260341,WHITE HERON PHARMACEUTICAL SDN. BHD.,W.P. Kuala Lumpur,52200,03-62802162,"WISMA WH, NO. 1, JALAN KIP 9A, TAMAN PERINDUSTRIAN KIP, KUALA LUMPUR",2026,992
MALLP20260339A,PHARMANIAGA MANUFACTURING BERHAD,Selangor,43650,03-89257880,"11A, JALAN P/1, KAWASAN PERUSAHAAN BANGI, , BANDAR BARU BANGI",2026,491
