company,state,postcode,phone,address
HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,"54, JALAN PJS 3/2,"
SUN-YANG MARKETING SDN BHD,,,,"NO: 8 JALAN SEMENYIH INTEGRATED 1, SEMENYIH INTEGRATED INDUSTRIAL PARK 43500 SEMENYIH, SELANGOR"
Dermascience Sdn Bhd,Selangor,43000,,"34, JALAN SC 3, PUSAT PERINDUSTRIAN SG CHUA,"
RADIANCE MANUFACTURING SDN. BHD.,Selangor,45000,0332812497,"NO. 2, LORONG PERUSAHAAN 1B, Kilang PKNS"
ETHNOMATE SDN. BHD.,Kedah,08000,044422322,"NO 101, JALAN SEROJA 1/2, PERSIARAN AMAN JAYA 2,"
HIGHLAND PHARMACEUTICAL SDN BHD,Kedah,05350,0198144456,"83, SHAHAB PERDANA 10 MUKIM PUMPONG JALAN SULTANAH SAMBUNGAN"
EDARAN PENMED SDN BHD,Pulau Pinang,14100,042290200,"NO.1, LORONG PALA 5, KAWASAN INDUSTRI RINGAN PERMATANG TINGGI,"
Ikhwan Nature Beauty,Selangor,48000,01121600991,"No. 23, Jalan Cempaka 3A/1, Anugerah Suria, Sg. Choh, Rawang"
INTERCOSMETIC ASIA PACIFIC SDN. BHD.,Selangor,47000,03-61568020,"LOT 2A, JALAN TSB 1, TAMAN INDUSTRI SUNGAI BULOH,"
MPOB COSMETICS GMP FACILITIES,Selangor,43000,,"NO 6, PERSIARAN INSTITUSI KAJANG"
DYNAPHARM (M) SDN. BHD.,Pulau Pinang,13600,04-3904093 (Ext. 306),"LOT 2497, LORONG PERUSAHAAN BARU 5, KAWASAN PERUSAHAAN PRAI 3,"
FOLLOW ME INDUSTRIES SDN BHD,Pulau Pinang,11900,04-6420577,"6, LEBUHRAYA KAMPUNG JAWA, KAW. PERDAGANGAN BUKAN BEBAS, TAMAN PERINDUSTRIAN BAYAN LEPAS,"
PAHANG PHARMACY SDN. BHD.,Selangor,41050,03-33931978,"LOT 5979, JALAN TERATAI 5 1/2 MILE, OFF JALAN MERU"
ROYCE PHARMA MANUFACTURING SDN. BHD.,Negeri Sembilan,71800,067995999,"PT 1663, Nilai Industrial Estate,"
SANCHUAN MEDICAL SDN.BHD,Perak,30100,05-5269630,"Sanchuan Medical Sdn. Bhd. No. 72, Lengkok Rishah 2, Kawasan Perindustrian Silibin, 30100 Ipoh, Perak."
SM PHARMACEUTICALS SDN. BHD.,Kedah,08000,04-4411801,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE,"
SUNWARD PHARMACEUTICAL SDN. BHD.,Johor,81200,07-2367531,"17 Jalan Kempas 4,  Taman Perindustrian Tampoi Indah,"
TERAPUTICS SDN BHD,Pulau Pinang,14100,04-5880519,"LOT 10 & 11, PERDA INDUSTRIAL PARK, LORONG IKS SIMPANG AMPAT B,"
TIGER BALM (M) SDN. BHD.,Johor,81100,,"Plo 95, No. 6, Jalan Firma 1/1, Kawasan Perindustrian Tebrau"
Y.S.P. INDUSTRIES (M) SDN. BHD.,Selangor,43000,03-89251215,"LOT 3, 5, 7 & 12 & 14 JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI"
C TA COSMETIC INDUSTRY,Kelantan,16100,,"Blok 6B, Kawasan Industri MARA Fasa 3 Pengkalan Chepa"
DERMARQUE SDN BHD,Selangor,47000,0361403602,"NO.11 & 13 JALAN S.B. JAYA 13,  TAMAN INDUSTRI S.B. JAYA,"
MCBRIDE MALAYSIA SDN. BHD.,Selangor,40200,603-33962000,"WISMA FORTUNE, NO. 4, JALAN 16/12, SEKSYEN 16,"
GIM COSMETIC INDUSTRIES SDN BHD,W.P. Kuala Lumpur,56000,0391742172,"NO 9, JALAN 5/118C DESA TUN RAZAK INDUSTRIAL PARK"
GRAND COSMETICS MANUFACTURING SDN BHD,Selangor,43300,0389576816,"NO. 7, JALAN BS 7/18, KAWASAN PERINDUSTRIAN BUKIT SERDANG, SEKSYEN 7,"
BIO BOTANA INTERNATIONAL SDN. BHD.,Melaka,75250,06-3359608,"NO. 6 & 8, JALAN IMJ 5, TAMAN PERINDUSTRIAN MALIM JAYA, MALIM JAYA,"
Eryca Life Science Sdn Bhd,Pulau Pinang,14100,"0124273177 (not valid), student number","NO.11, LORONG IKS JURU 5 KAWASAN PERINDUSTRIAN RINGAN JURU"
YOKNESS ENTERPRISE,Johor,81800,07-8637724,"63, JALAN TIRAM 9 TAMAN PERINDUSTRIAN TIRAM"
HANA MEDIC (MANUFACTURING) SDN. BHD.,Negeri Sembilan,78100,,"3, JALAN NILAM 3/1, KAWASAN PERINDUSTRIAN NILAI UTAMA,"
UBARA MANUFACTURING SDN. BHD.,Selangor,40150,,"NO. 2, JALAN PENGETUA U1/32, BATU 3, KAWASAN PERINDUSTRIAN HICOM GLENMARIE, SEKSYEN U1"
AGY R & D  RESOURCES,Kedah,08000,,"Lot 108, Jalan Cindai Jaya 7, Taman Cindai Jaya"
Ykl Multi Sdn. Bhd.,Pulau Pinang,13700,604-3989099,"No.8, Lorong Inang 1, Taman Bunga Raya, Jalan Baru"
KOSMETIK ALWAN SDN. BHD.,Selangor,41200,1700817317,"NO 14, JALAN PERMATA 2B/KS9, TAMAN PERINDUSTRIAN AIR HITAM,"
NATURE`S SELECT (M) SDN. BHD.,Selangor,43500,,"NO. 12, GROUND FLOOR, JALAN P2/19, SEKSYEN 2, BANDAR TEKNOLOGI KAJANG,"
DR ORIZI (M) SDN. BHD.,Perak,31500,019-4731941,"29, Persiaran Perindustrian Pengkalan 14, Kawasan Perindustrian Pengkalan,"
CELMONZE SDN. BHD.,W.P. Kuala Lumpur,52100,,"AZ-D5-09 & AZ-D5-10, TINGKAT 5, ANZEN BUSINESS PARK JALAN 4/37A, TAMAN BUKITMALURI"
Way In Alliance (M) Sdn. Bhd.,Pulau Pinang,12100,04-3319028,"NO. 2, LENGKOK KAPAL, JALAN CHAIN FERRY,"
MOHA BIOTECH MANUFACTURING SDN BHD,Johor,81000,,"NO 1116, JALAN SRI PURI 3/2 TAMAN PUTRI"
PESONA KOSMETIK SDN BHD,Selangor,40100,01123053573,"NO. 34, TINGK. 1, JALAN TP 7/6 SIME UEP INDUSTRIAL PARK, SECTION 26"
ORB COSMEX SDN BHD,Selangor,47120,,"NO. 24, JALAN MJ 8 TAMAN INDUSTRI MERANTI JAYA"
GOODMAID CHEMICALS CORPORATION SDN. BHD.,Negeri Sembilan,70400,06-6771337,"LOT 27B, LORONG BUNGA TANJUNG 3/1 SENAWANG INDUSTRIAL PARK"
WLS Global Supply Sdn Bhd,Selangor,43300,03-89613818,"NO.7, JALAN TAMING 3 TAMAN TAMING JAYA"
ARVEBE TRADING SDN. BHD.,Melaka,77200,,"JA 7639, TAMAN IKS, AIR PANAS, BEMBAN,"
WHITE HERON PHARMACEUTICAL SDN. BHD.,W.P. Kuala Lumpur,52200,03-62802162,"NO. 6, JALAN KIP 3,  TAMAN PERINDUSTRIAN KIP,"
FIRST GRADE RESOURCES SDN BHD,Kedah,09000,,"NO. 126 & 127, JALAN CENGAL 6, TAMAN CENGAL INDAH,"
BIO CHEMPRO INDUSTRY,Selangor,68100,0361782799,"NO. 22, JALAN TIB 1/11, TAMAN INDUSTRI BOLTON,"
Gano Excel Industries Sdn. Bhd.,Kedah,05150,,"No. 81 & 82, Lorong Perak 20 Taman Industri Ringan Sri Mergong"
Innopharm Manufacturing (M) Sdn Bhd,Perak,31500,012-5055920,"No.8, Persiaran Perindustrian Pengkalan 11, Kawasan Perindustrian Pengkalan, 31500 Lahat, Perak."
BODIBASIXS MANUFACTURING SDN. BHD.,Selangor,41050,,"Lot 5011 & 5034, Jalan Teratai, Batu 51/2, Off Jalan Meru,"
KHAYLA KOSMETIK SDN. BHD.,Selangor,47000,03-61414318,"LOT 55, 57, 59 & 61, JALAN TSB 2, TAMAN INDUSTRI SUNGAI BULOH,"
RUZA RESOURCES MANUFACTURING SDN BHD,Kedah,00900,044919986,"338A, 339, 341, 342, 343, 344, 345, 346A, 347 & 348A, JALAN PETALING 9 TAMAN SRI PETALING"
HOE PHARMACEUTICALS SDN. BHD.,Selangor,42000,03-31767822,"LOT 10, JALAN SULTAN MOHAMED 6, BANDAR SULTAN SULEIMAN,"
GANO EXCEL INDUSTRIES SDN BHD,Kedah,05150,04-9172888,"No. 81 & 82, Lorong Perak 20, Taman Perindustrian Ringan Sri Mergong, Jalan Gangsa"
GANO EXCEL INDUSTRIES SDN BHD 3,Kedah,05150,,"NO. 81 & 82, LORONG PERAK 20, TAMAN PERINDUSTRIAN RINGAN SRI MERGONG"
DM CEKAP SDN BHD,Selangor,43300,03-89645168,"NO. 18, JALAN 1/5, TAMAN INDUSTRI SELESA JAYA,"
Dby Smart Trading,Kedah,06000,049164549,LOT 12 IKS KEDA NAPOH
Halagel Plant (M) Sdn. Bhd.,Kedah,08000,04-4481288,"A137, JALAN 2B, KAWASAN PERUSAHAAN MIEL SG. LALANG"
RAYSON LABORATORIES SDN BHD,Selangor,48000,0362720553,"NO. 20, JALAN KESIDANG 1, RCI PARK KAWASAN PERINDUSTRIAN SG. CHOH"
GROCHEM (MALAYSIA) SDN.BHD.,Johor,81750,,"NO 27 & 29, JALAN BUKIT 1, KAWASAN MIEL SERI ALAM,"
J.E. SKINCARE & COSMETICS SDN. BHD.,Johor,79200,07-5090966,"NO. 4, JALAN MEGA 1/5, TAMAN PERINDUSTRIAN NUSA CEMERLANG"
SENWILL COSMETIC MANUFACTURING SDN BHD,Pulau Pinang,11900,6046119977,"No.20 & 22, lintang bayan lepas 4, taman perindustrian bayan lepas, fasa 4"
DE COSMETICS MALAYSIA SDN BHD.,Perak,30000,0195119878,"NO. 8, MEDAN ISTANA 6, BANDAR IPOH RAYA,"
FURLEY BIOEXTRACTS SDN. BHD.,Selangor,43500,0387243280,"NO.7, JALAN VILLARAYA, VILLARAYA INDUSTIRAL PARK 3, 23RD MILE, JALAN SUNGAI LALANG,"
E & S ESPRIT SDN. BHD.,Selangor,43300,0389623368,"NO. 26 & 28, JALAN 6/2, TAMAN INDUSTRI SELESA JAYA,"
PENAWAR INDUSTRIES SDN. BHD.,Kedah,08000,,"D43A, JALAN 2B-2, KAWASAN PERINDUSTRIAN SG. LALANG"
ELSUHAZ (M) SDN. BHD.,Kedah,08600,04-4380097,"NO. 56-62, BANGUNAN NOUR AIN, JALAN SERI JENARIS 1, TAMAN SERI JENARIS, TIKAM BATU,"
ERA HEALTH CARE SDN. BHD.,Perak,31400,055416546,"NO. 5, PERSIARAN INDUSTRI BERCHAM 10, KAWASAN PERINDUSTRIAN RINGAN BERCHAM,"
Sri Mutiara Beauty  Sdn. Bhd.,Johor,81000,,"NO. 1 & 2 JALAN TUN ALI, BANDAR TENGGARA,"
Sri Mutiara Kosmetik Sdn. Bhd.,Johor,81000,,"NO. 1 & 2 JALAN TUN ALI, BANDAR TENGGARA,"
F.A. HERBS SDN.BHD.,Selangor,45000,0126110182,"LOT 571, JALAN BUKIT BELIMBING,"
DARULAMAN MANUFACTURING SDN. BHD.,Kedah,06000,04-9161767,"LOT 59, 60 & 61  TAMAN INDUSTRI KEDA NAPOH"
Giovan Resources Sdn Bhd,W.P. Kuala Lumpur,52200,60362778776,"284, JALAN KIP 3, TAMAN PERINDUSTRIAN KIP, SRI DAMANSARA"
MMA BIO LAB SDN BHD,Kedah,09000,044924661,"NO. 139, JALAN SUASA 7, TAMAN SUASA"
NATURE`S SELECT (M) SDN BHD,Selangor,43500,,"NO. 12, GROUND FLOOR, JALAN P2/19, SEKSYEN 2, BANDAR TEKNOLOGI KAJANG,"
PRIME OLEOCHEMICAL INDUSTRIES SDN BHD,Selangor,,0378400717,"79B, BATU 28, OFF JALAN SEPAKAT, JALAN KUALA SELANGOR, KAMPUNG BARU IJOK, BATANG BERJUNTAI"
I Medikel Healthcare (M) Sdn. Bhd.,Kelantan,16100,097735756,BK4 KAWASAN INDUSTRI MARA FASA 2 JALAN PADANG TEMBAK PENGKALAN CHEPA
ASTANA BIOCARE SDN. BHD.,Pulau Pinang,14300,04-593 6254,"NO 11A, JALAN PERINDUSTRIAN NIBONG TEBAL 1, TAMAN PERINDUSTRIAN NIBONG TEBAL, SEBERANG PERAI SELATAN"
Q-PACK (M) SDN. BHD.,Selangor,40150,03-55692641,"NO.2, JALAN PERUNDING U1/17,  HICOM-GLENMARIE INDUSTRIAL PARK,  SEKSYEN U1,"
DMI PREMIER SDN BHD,Pulau Pinang,14000,04 - 552 2090/ 2080,"No 53, Lorong Alma Jaya 12, Kawasan Industri Alma,"
SKY RESOURCES SDN. BHD.,Pulau Pinang,14000,04-5015188 Ext 162,"NO. 1720, MK 11, LORONG PERUSAHAAN UTAMA 1, KWSN PERINDUSTRIAN BUKIT TENGAH,"
OTC COSMETIC INDUSTRIES SDN. BHD.,Selangor,45620,019-711 4661,"No.3, Jalan Industri Bukit Badong 3, Taman Industri Bukit Badong, Ijok,"
EWENCE BIO-TECH RESOURCES SDN BHD,W.P. Kuala Lumpur,52200,603-6273 3303,"No. 26 & 28, Jalan Tembaga SD5/2G Bandar Sri Damansara Industrial Park"
DOUBLE FORTUNA TRADING,Pahang,39100,0137795677,"75, BATU 43, GREEN COW KEA FARM, TANAH RATA,"
I MEDIKEL COSMECEUTICAL (M) SDN. BHD.,Kelantan,16100,,"BT 4, KAWASAN INDUSTRI MARA FASA 2, JALAN PADANG TEMBAK, PENGKALAN CHEPA,"
KYNOPHARM INDUSTRIES,Perak,31650,0125055920,"8 Persiaran Perindustrian Pengkalan 11, Kawasan Perindustrian Pengkalan"
SYARIKAT WEN KEN DRUG SDN. BHD.,Johor,81200,072371115,"NO. 24, JALAN LAMBAK TAMAN JOHOR"
Indochine Natural Sdn. Bhd.,Pulau Pinang,11200,048909577,"37 Lebuh Lembah Permai 1, Tanjung Bungah"
PEAU BEAU SDN BHD,W.P. Kuala Lumpur,52100,60362631746,"No. 547, Jalan 20, Taman Perindustrian Ehsan Jaya"
Atika Beauty Manufacturing Sdn.Bhd.,Negeri Sembilan,71800,04-6435180,"Lot 152, Jalan Permata 1 Arab Malaysian Industrial Park"
TOP ON COSMETICS INDUSTRIES,Kelantan,16100,097718037,BT 14 KAWASAN PERINDUSTRIAN MARA FASA 2 PADANG TEMBAK
ZEES VALLEY BIOSCIENCE SDN BHD,Negeri Sembilan,71300,0176533037,"NO.7(B), JALAN RS(1), REMBAU SENTRAL,"
Achima Skincare Sdn Bhd,Selangor,43300,03-89644299,"No. 73, Jalan Taming 6 Taman Taming Jaya"
H E MANUFACTURING (M) SDN BHD,Selangor,48020,0360879295,"NO.3, JALAN KPK 4/3, RAWANG-KUNDANG INDUSTRIAL PARK, KUNDANG JAYA,"
Biotech Manufacturing,Selangor,40150,03-78465219,"No. 25 & 27, Jalan Marikh U5/175, Bandar Pinggiran Subang, Seksyen U5,"
NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),W.P. Kuala Lumpur,56000,03-91715329,"78, Jalan Kilang Midah Taman Midah Cheras"
ENSU LIFESCIENCES SDN. BHD.,Selangor,48200,01112202996,"NO.12, JALAN VELOX 2, TAMAN VELOX"
PERNIAGAAN ORANG KAMPUNG SDN. BHD.,Melaka,77300,06-2636200,"LOT 32, JALAN EP, SERKAM 9, KAWASAN PERINDUSTRIAN SERKAM HALAL HUB"
ESONA INDUSTRIES SDN. BHD.,W.P. Kuala Lumpur,55100,03-42955566,"46, JALAN 1, TAMAN INDUSTRI PANDAN INDAH, PANDAN INDAH,"
Innoscience Manufacturing Sdn. Bhd.,Selangor,43650,0166616048,"NO 29 & 31, JALAN P10/21, SEKSYEN 10, TAMAN INDUSTRI SELAMAN, BANDAR BARU BANGI,"
MAGIC IDEAL INDUSTRIES SDN. BHD.,Johor,,0125881965,"NO. 34, JALAN PERUSAHAAN 1, KAWASAN PERINDUSTRIAN PARIT HULU, 84200 BUKIT BAKRI"
IKOP PHARMA SDN. BHD.,Pahang,25200,+6095704960,"Jalan Sultan Ahmad Shah, Bandar Indera Mahkota"
MBH Cosmeceutical Sdn Bhd,Selangor,42200,,"NO. 12, JALAN MERU INDAH 20, TAMAN PERINDUSTRIAN MERU INDAH"
DELPHIN SDN BHD,Selangor,43500,03-87238382,"No.1, Jalan Hi Tech 3/3, Kawasan Perindustrian Hi Tech 3,"
Denwell Corporation Sdn. Bhd.,Kedah,08000,044425888,"Plot 19-15, Jalan PKNK 1/10, Kawasan Perusahaan Sungai Petani,"
MASSLOSH SDN BHD,Kedah,08000,04-4300558,"No.59 & 60 LORONG SAGA 1/3, KAWASAN PERUSAHAAN SAGA"
Xorix Sdn Bhd,Terengganu,23000,+60(9)842 3750,"Lot 1, 2, 3 & 4, Kawasan Industri Batu 7,"
LOLLA INDUSTRIES (MALAYSIA) SDN. BHD.,Melaka,76100,06-3370496,"NO. 15, JALAN IAN 1, INDUSTRI ANGKASA NURI, DURIAN TUNGGAL"
JM NATURAL SDN. BHD.,Selangor,47600,03-8020 6599,"NO. 16, JALAN INDUSTRI USJ 1/11 TAMAN PERINDUSTRIAN USJ 1"
JM Naturals Sdn Bhd,Selangor,47600,0380206599,"NO.16, JALAN INDUSTRI USJ 1/11 TAMAN PERINDUSTRIAN USJ 1"
WIRAKATA GLOBAL SDN. BHD.,Perak,31500,05-3282288 / 016-5571662,"PT 114034 & 114034-A, PERSIARAN PERINDUSTRIAN PENGKALAN 8,  KAWASAN PERINDUSTRIAN PENGKALAN,"
GIM COSMETIC INDUSTRIES SDN BHD,W.P. Kuala Lumpur,56000,03-91742173,"NO. 3, JALAN 5/118C, DESA TUN RAZAK"
PERNIAGAAN ORANG KAMPUNG SDN. BHD.,Melaka,77300,06-2636200,"PLOT 32 JALAN EP SERKAM 9 MELAKA HALAL HUB, SERKAM"
BORNEO TO THE WORLD SDN. BHD.,Sarawak,93050,0198281088,LOT 459 BLOCK 14 JALAN SULTAN TENGAH
SKCC LABORATORIES SDN. BHD.,Selangor,46000,03-77826308,"NO. 17, JALAN PJS 5/26, TAMAN DESARIA, BANDAR PETALING JAYA,"
BORNEO TO THE WORLD SDN. BHD.,Sarawak,93010,0198281088,"LOT 1272 & 1273, BLOK 3, MUARA TEBAS LAND DISTRICT, JALAN KAMPUNG BAKO"
Noripharma Sdn. Bhd.,Selangor,41050,603-33926013,"LOT 5030, JALAN TERATAI, 5 1/2 MILE OFF JALAN MERU"
THE LUXE PRODUCTION SDN BHD,Kedah,06250,0135997787,"NO. 10 & 11, TINGKAT ATAS, KOMPLEKS PERNIAGAAN ALOR JANGGUS BATU 5 1/2, JALAN PUTRA"
Budayatama Corporation Sdn Bhd,Johor,84500,,Batu 12 Jalan Muar - Pagoh
Budayatama Corporation Sdn Bhd,,,,"Ladang Rempah Ratus Batu 12, Jalan Muar - Pagoh"
angelfun manufacturer (m) sdn bhd,Selangor,48200,0390173553,"NO 21, JALAN KESIDANG 2 RCI PARK ,48200 SERENDAH , SELANGOR."
Universal Lab & Chemical Supplies (PG) Sdn. Bhd.,Pulau Pinang,14100,04-5014484,"PLOT 231, LORONG PERINDUSTRIAN BUKIT MINYAK 11, KAWASAN PERINDUSTRIAN BUKIT MINYAK MUKIM 13"
DMI PREMIER SDN BHD,Pulau Pinang,14000,045522090,"No 53, Lorong Alma Jaya 12, KAWASAN INDUSTRI ALMA,"
CL COSMETIC INDUSTRIES SDN. BHD.,Selangor,43000,03-87393981,"NO. 12, JALAN SC 1/A2, PUSAT PERINDUSTRIAN SG. CHUA"
Unico Cosmeceutical Industries Sdn. Bhd.,Johor,81750,073863882,25 JALAN PERMAS 9/12
Sireh Emas Marketing Sdn. Bhd.,Selangor,40150,,"No 9-11, Blok B, Kompleks Perkilangan Sme Bank Shah Alam, Jalan Saujana Indah 8, Taman Perindustrian Saujana Indah,"
Masha Marketing Sdn. Bhd.,Selangor,47100,0380603101,"NO. 26 & 28, JALAN BP 5/8 BANDAR BUKIT PUCHONG"
Best Formula Industries,W.P. Kuala Lumpur,51200,0362531125,"Module 0004, Ground Floor, Blok A, Kompleks Sentral, Jalan Segambut Atas,"
DE COSMETICS MALAYSIA SDN BHD,Perak,31450,,"26 & 28, HALA PERUSAHAAN KLEDANG UTARA 3, KAWASAN PERINDUSTRIAN MENGLEMBU,"
Denwell Corporation Sdn. Bhd.,Kedah,08000,04-4425888 / 012-4041128,"Plot 19-15, Jalan Pknk 1/10, Kawasan Perusahaan Sungai Petani,"
MOSFAC SDN BHD.,W.P. Kuala Lumpur,52000,0362803333,"NO.48, JALAN KIP 9, TAMAN INDUSTRI KIP,"
Biotech Manufacturing,Selangor,40150,03-78465219,"NO.25 & 27, JALAN MARIKH U5/175, BANDAR PINGGIRAN SUBANG, SECTION U5,"
BUDAYATAMA CORPORATION SDN BHD,Johor,84500,06-9737608 / 9737609,"BATU 12, JALAN MUAR-PAGOH,"
KCK Pharmaceutical Industries Sdn Bhd,Pulau Pinang,11900,604-6440766,"Wisma Fuji, Plot 61, Bayan Lepas Industrial Park Phase 4,"
VEE-MAN BEAUTY SDN. BHD.,Selangor,47500,+603-56129999,"NO. 35, JALAN PJS 11/22, BANDAR SUNWAY,"
AIN MEDICARE SDN. BHD.,Kelantan,16100,09-7743388,"LOT 4933, 4934 & PT2464, JALAN 6/44, KAW. PERINDUSTRIAN PENGKALAN CHEPA 2,"
Sun-Yang Marketing Sdn Bhd,Selangor,43500,03-8724 1887,"NO.8, JALAN SEMENYIH INTEGRATED 1, SEMENYIH INTEGRATED INDUSTRIAL PARK,"
PEOPLE & GLOBAL SDN BHD,Selangor,43300,+603-8961 3818,"NO.5, JALAN TAMING TIGA, TAMAN TAMING JAYA,"
Cosmepro Industries Sdn. Bhd.,Johor,81750,073864308,"5,JALAN SRI PLENTONG 3, TAMAN PERINDUSTRIAN SRI PLENTONG,"
KHAYLA KOSMETIK SDN. BHD.,Selangor,47000,0361414318,"LOT 55, 57, 59 & 61 JALAN TSB 2, TAMAN INDUSTRI"
Eng Kah Enterprise (KL) Sdn. Bhd.,Negeri Sembilan,71800,,"Lot 152, Jalan Permata 1, Arab Malaysian Industrial Park,"
ZAM ZAM CHEMICAL WORKS SDN. BHD.,Selangor,68100,03-61870860,"NO 57, JALAN SBC 7, TAMAN SRI BATU CAVES,"
WELLMETECH PHARMACEUTICAL INDUSTRIES SDN BHD,,,082-750621,"LOT 8058, KOTA SAMARAHAN INDUSTRIAL PARK, 94300 KOTA SAMARAHAN, SARAWAK"
Innoskin Concept Sdn Bhd,W.P. Kuala Lumpur,57000,03-90596666,"18, Jalan 30B/146, Desa Tasik, Sungei Besi 57000"
Dby Smart Trading,Kedah,06000,049164549,"LOT 12, IKS KEDA, NAPOH"
ELSUHAZ (M) SDN. BHD.,Kedah,08600,04-4380097,"No.56-61, Bangunan Nour Ain, Jalan Seri Jenaris 1, Taman Seri Jenaris, Tikam Batu,"
Innoscience Manufacturing Sdn. Bhd.,Selangor,43650,,"No.29&31, Jalan P10/21 Seksyen 10 Taman Industri Selaman, Bandar Baru Bangi"
Sirius Excel Sdn Bhd,Negeri Sembilan,70300,066017810,"NO 75 JALAN S2 C2, GREEN TECHNOLOGY PARK, SEREMBAN 2,"
Q & Z COSMETICS MANUFACTURING SDN. BHD.,Selangor,47150,0380621988,"NO. 1, JALAN PPU 1A, TAMAN PERINDUSTRIAN PUCHONG UTAMA,"
DRI`N GUARD SDN. BHD.,Selangor,40150,03-55685100,NO 5 JALAN PEGUAM U1/25 HICOM GLENMARIE INDUSTRIAL PARK
PACK & PEK SDN. BHD.,W.P. Kuala Lumpur,52100,03-28579228,"NO.22, JALAN METRO PERDANA BARAT 6, TAMAN SERI EDARAN, LIGHT INDUSTRIAL PARK,"
BORNEO RICH SUPPLIER,Sabah,88450,,"SIRIM Berhad, Lot 1, Fasa 1, Jalan Timur 6, KKIP Commercial Zone"
WOLECO HOTEL SUPPLIES SDN BHD,Johor,81800,07-8635890,"NO.15 & 17, JALAN MAHIR 5, TAMAN PERINDUSTRIAN CEMERLANG"
BIOCOSLAB MANUFACTURING SDN. BHD.,Selangor,47100,0380627077/80628011,"No. 9, Jalan PPU 2A, Taman Perindustrian Puchong Utama,"
Success Heritage Sdn. Bhd.,Selangor,43200,03-90758863,"Lot 26, Jalan CJ 1/7, Cheras Jaya"
CYLIN COSMETIC SDN. BHD.,Johor,83610,06-9883815,"97, MAIN ROAD SUNGAI KELAT, SEMERAH"
MMA BIO LAB SDN BHD,Kedah,09000,04-492 4661,"139, JALAN SUASA 7, TAMAN INDUSTRI SUASA KAWASAN INDUSTRI KULIM"
E & S ESPRIT SDN BHD,Selangor,43300,0129692063,"26 & 28, JALAN 6/2 TAMAN INDUSTRI SELESA JAYA"
Bio Harvest Sdn. Bhd.,Selangor,40200,603-55189166,"5, Jalan Lada Hitam 16/12"
SKY RESOURCES SDN. BHD.,Pulau Pinang,14000,04-5015188 Ext 162,"NO. 1720, LORONG PERUSAHAAN UTAMA 1, KAWASAN PERINDUSTRIAN BUKIT TENGAH"
PENAWAR INDUSTRIES SDN. BHD.,Kedah,08000,04-7326019,"D 43 A, JALAN 2B-2, KAWASAN PERUSAHAAN SUNGAI LALANG,"
HOVID BERHAD,Perak,30010,05-5060690,"121, JALAN TUNKU ABDUL RAHMAN (JALAN KUALA KANGSAR)"
ORION PARADIGM SDN BHD,Selangor,48000,0360927886,"No.36G ,JALAN 1/2 RAWANG INTEGRATED INDUSTRIAL PARK"
JUANTIAN SDN.BHD.,Johor,81000,07-6636232,"1361, JALAN SRI PUTRI 3/6, TAMAN PUTRI,"
Kosmetik Alwan Sdn. Bhd.,Selangor,41200,03-31226365,"NO. 14, JALAN PERMATA 2B/KS9, TAMAN PERINDUSTRIAN AIR HITAM"
CL COSMETIC INDUSTRIES SDN. BHD.,Selangor,43000,03-87393981,"LOT 4, 6, 8, 10, 12, 14 & 16 JALAN SC 1/A2, PUSAT PERINDUSTRIAN SUNGAI CHUA,"
Yamni Industry,Kelantan,16100,09-7742490,"Bt1 Kawasan Perindustrian Mara Jln Pdg Tembak Pengkalan Chepa Kota Bharu, Kelantan"
Kelantan Biotech Corporation Sdn. Bhd.,Kelantan,18500,099765280,"Lot 3174, Batu 23, Jalan Kota Bharu-machang,"
Kinder Soaps Sdn. Bhd.,Selangor,47400,+60122137898,"11A-B, JALAN SS22/23, DAMANSARA JAYA"
PENAWAR INDUSTRIES SDN. BHD.,Kedah,08000,04-7326019,"D43A, JALAN 2B-2, KAWASAN PERUSAHAAN SUNGAI LALANG,"
GANO EXCEL INDUSTRIES SDN BHD,,,04-9172888,"Lot 2774, Lebuhraya Bukit Kayu Hitam, Pekan Asun Jitra, Kedah"
MUTIARA JINGGA MARKETING SDN BHD,Pulau Pinang,14000,0104051905,"LOT 1937-D KOMPLEKS BANK SEBERANG PERAI 1,  JLN IKS BUKIT MINYAK,"
Newgenic Beauty Manufacturing Sdn Bhd,Selangor,43500,0164458083,"No. 6, Jalan 6/2A, Kawasan Perindustrian Bandar Rinching,"
ISD MEDITECH SDN BHD,Selangor,40200,0103811577,"LOT 2C, JALAN KELULI 15/16, SEKSYEN 15,"
HALAGEL PRODUCTS SDN. BHD.,Kedah,08000,,"A140, JALAN 2, KAWASAN PERUSAHAAN MIEL SUNGAI LALANG,"
SKINLAB BIOTECH SDN. BHD.,Kedah,06000,049199161,"NO 320 & 321 TAMAN SRI HOSBA, LEBUHRAYA BUKIT KAYU HITAM,"
LUNACARE SDN BHD,Pulau Pinang,13800,043566822,"No.23, Lorong Sungai Lokan 1, Kawasan Perusahaan Sungai Lokan"
ZAM ZAM CHEMICAL WORKS SDN. BHD.,Selangor,68100,,"31 & 57, JALAN SBC 7, TAMAN SRI BATU CAVES,"
