reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL15040050T,PRESMEDIC HEPA-AID CAPSULE,NATURAL PRODUCT,BIO-SCIENCE MANUFACTURING SDN BHD,BIO-SCIENCE MANUFACTURING SDN BHD,2020-05-01,2025-05-01
MAL20002653AZ,BLOPRESS TABLET 16MG,NEW CHEMICAL ENTITY,Takeda Malaysia Sdn Bhd,TAKEDA PHARMACEUTICAL COMPANY LIMITED,2020-05-02,2025-05-02
MAL20056054T,Halavita Black Seed Oil + Virgin Coconut Oil + Garlic Extract Softgel,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2020-05-06,2025-05-06
MAL20056067T,Halavita Black Seed Oil + Virgin Coconut Oil + Ginkgo Biloba Softgel,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2020-05-06,2025-05-06
MAL15055022NCR,SURBEX CoQ10 CAPSULES,HEALTH SUPPLEMENT,ABBOTT LABORATORIES (M) SDN. BHD.,CATALENT AUSTRALIA PTY LTD,2020-05-26,2025-05-26
MAL15055031ACZ,Fentanylâ€“Piramal 0.05mg/ml injectable solution,NEW CHEMICAL ENTITY,DKSH MALAYSIA SDN. BHD.,GlaxoSmithKline Manufacturing S.p.A,2020-05-26,2025-05-26
MAL05051051XRZ,PANADOL SUSPENSION 250MG/5ML,NON PRESCRIPTION,Haleon Malaysia Sdn. Bhd.,SMITHKLINE BEECHAM,2020-05-29,2025-05-29
MAL19993191TC,RED BRAND HUA TAM DAN,NATURAL PRODUCT,RED BRAND PRODUCTS AGENCY SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2020-06-12,2025-06-12
MAL20066153TC,NATURE SPIRIT CENTELLA ASIATICA EXTRACT 100MG CAPSULE,NATURAL PRODUCT,NATURE SPIRIT SCIENCE RESEARCH SDN. BHD.,Reishilab Sdn Bhd,2020-06-23,2025-06-23
MAL20066150T,Halavita Black Seed Oil + Virgin Coconut Oil + Virgin Olive Oil Softgel,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2020-06-23,2025-06-23
MAL15065004NCR,VitaHealth LiCal Complex Softgel,HEALTH SUPPLEMENT,VITAHEALTH BIOTECH SDN BHD,CAPTEK SOFTGEL INTERNATIONAL INC,2020-06-25,2025-06-25
MAL15065002N,VITASEN B Complex plus Vitamin C & Minerals Effervescent Granules (orange flavour),HEALTH SUPPLEMENT,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2020-06-25,2025-06-25
MAL15065002N,VITASEN B Complex plus Vitamin C & Minerals Effervescent Granules (orange flavour),HEALTH SUPPLEMENT,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2020-06-25,2025-06-25
MAL15060006TC,Vitamode MenoCare Tablet,NATURAL PRODUCT,Vitamode  Sdn.bhd,SUHEUNG CAPSULE CO. LTD.,2020-06-25,2025-06-25
MAL15060027TC,Vitamode LivaPro Capsule,NATURAL PRODUCT,Vitamode  Sdn.bhd,Vitaco Health (NZ) Ltd.,2020-06-30,2025-06-30
MAL05061598T,PHYTOCLEANSE PLUS,NATURAL PRODUCT,MISB RESOURCES SDN. BHD.,MISB RESOURCES SDN. BHD.,2020-07-03,2025-07-03
MAL05061553X,Nn B-50 Complex Tablet,HEALTH SUPPLEMENT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2020-07-03,2025-07-03
MAL20000468TC,VISEED CAPSULES 100MG,NATURAL PRODUCT,NUTRINATURE HOLDING SDN. BHD.,NUTRIPHARMA SDN. BHD.,2022-09-01,2025-07-09
MAL20000467TC,SPIRULINA 500 CAPSULES,NATURAL PRODUCT,NUTRINATURE HOLDING SDN. BHD.,NUTRIPHARMA SDN. BHD.,2022-09-01,2025-07-09
MAL14075019TC,My Sea Bird Nest,NATURAL PRODUCT,KPI ORGANIC HERBS,QD HERBS SDN. BHD.,2020-07-09,2025-07-09
MAL20076179TC,Sani Dakam Herbs Minyak Serai Wangi Plus  Wak Dakam,NATURAL PRODUCT,Sani Dakam Enterprise,KIMIPACK MEDICAL INDUSTRIES SDN BHD,2020-07-23,2025-07-23
MAL20076117TC,CROWN PHALERIA MACROCARPA EXTRACT 150MG CAPSULE,NATURAL PRODUCT,CHOSEN BARK TEA SDN BHD,PUSAT TEKNOLOGI HERBA,2020-07-23,2025-07-23
MAL20076188TC,Herbatec Kacip Fatimah Extract Plus Capsule,NATURAL PRODUCT,ESPIDA ASIA PACIFIC SDN. BHD.,BIO DELTA SDN BHD,2020-07-23,2025-07-23
MAL20076185TC,MEGALIVE GINKGO BACOPA GOLD CAPSULE,NATURAL PRODUCT,MegaLive BioSciences Sdn Bhd,Esprit Care Sdn. Bhd.,2020-07-23,2025-07-23
MAL20076115TC,Nature Spirit Clinacanthus Nutans 100mg Capsule,NATURAL PRODUCT,NATURE SPIRIT SCIENCE RESEARCH SDN. BHD.,Reishilab Sdn Bhd,2020-07-23,2025-07-23
MAL15070057HA,MICOSOL 25% SOLUTION,VETERINARY ,RANGE PHARMA SDN. BHD.,,2020-07-25,2025-07-25
MAL15070057HA,MICOSOL 25% SOLUTION,VETERINARY ,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.,2020-07-25,2025-07-25
MAL05072049X,Balsem Gosok Cap Labu,NON PRESCRIPTION,KIMIPACK MEDICAL INDUSTRIES SDN BHD,KIMIPACK MEDICAL INDUSTRIES SDN BHD,2020-07-31,2025-07-31
MAL05072034AZ,Pholcodyl  Forte Syrup,PRESCRIPTION,SUNWARD PHARMACEUTICAL SDN. BHD.,SUNWARD PHARMACEUTICAL SDN. BHD.,2020-07-31,2025-07-31
MAL10070626TC,DaDiHuiChun: Puitang Brand,NATURAL PRODUCT,Puitang Supplier Sdn. Bhd.,WHITE HERON PHARMACEUTICAL SDN. BHD.,2020-07-31,2025-07-31
MAL05072138T,Digexin,NATURAL PRODUCT,DI ANN TRADING,DI ANN TRADING,2020-07-31,2025-07-31
MAL15075027NCR,BLACKMORES CALCIUM + D3 TABLETS,HEALTH SUPPLEMENT,BLACKMORES (MALAYSIA) SDN. BHD.,Lipa Pharmaceuticals Limited,2020-07-31,2025-07-31
MAL15075030NCR,VitaHealth Mag-Ease Tablet,HEALTH SUPPLEMENT,VITAHEALTH BIOTECH SDN BHD,Alfa Vitamins Laboratories Inc.,2020-07-31,2025-07-31
MAL05072059XCR,Similac Pramilet Film Tab,HEALTH SUPPLEMENT,ABBOTT LABORATORIES (M) SDN. BHD.,CATALENT AUSTRALIA PTY LTD,2020-07-31,2025-07-31
MAL05072033AZ,Pholcodyl  Syrup,PRESCRIPTION,SUNWARD PHARMACEUTICAL SDN. BHD.,SUNWARD PHARMACEUTICAL SDN. BHD.,2020-07-31,2025-07-31
MAL05061503TC,BIOFLUSH KAPSUL,NATURAL PRODUCT,TOKO TENAGA KELUARGA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.,2020-08-06,2025-08-06
MAL05072123TC,TRUS health Resdung Kapsul,NATURAL PRODUCT,TOKO TENAGA KELUARGA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.,2020-08-06,2025-08-06
MAL05072065TC,Al-Ejib KAPSUL KACIP FATIMAH PLUS,NATURAL PRODUCT,TOKO TENAGA KELUARGA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.,2020-08-06,2025-08-06
MAL05072066TC,Al-Ejib KAPSUL TONGKAT ALI HITAM PLUS,NATURAL PRODUCT,TOKO TENAGA KELUARGA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.,2020-08-06,2025-08-06
MAL05061525TC,Kapsul Ubi Jaga Plus 500mg,NATURAL PRODUCT,TOKO TENAGA KELUARGA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.,2020-08-06,2025-08-06
MAL20152500TCE,BIOTROPICS TENAGA CAPLET 200MG,NATURAL PRODUCT,Biotropics Malaysia Berhad,UNISON NUTRACEUTICALS SDN. BHD.,2020-08-06,2025-08-06
MAL15070043TC,DS Sabah Snake Grass Capsule,NATURAL PRODUCT,DS Link Enterprise,TPM NEXUS SDN. BHD.,2020-08-06,2025-08-06
MAL20086065NC,LAC Taut Hy-D Capsule ,HEALTH SUPPLEMENT,LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD.,"AFC-HD AMS Life Science Co., Ltd",2020-08-21,2025-08-21
MAL05090043T,PhytoNatal,NATURAL PRODUCT,MISB RESOURCES SDN. BHD.,MISB RESOURCES SDN. BHD.,2020-09-04,2025-09-04
MAL19912398XR,PINETARSOL BATH OIL,NON PRESCRIPTION,EGO PHARM MALAYSIA SDN. BHD.,Ego Pharmaceuticals Pty Ltd,2020-09-04,2025-09-04
MAL20096052N,Flavettes H-Drate Effervescent Tablet,HEALTH SUPPLEMENT,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2020-09-17,2025-09-17
MAL20096087TC,GH CHANNA PLUS KAPSUL,NATURAL PRODUCT,GH DISTRIBUTION SDN. BHD.,RPM HERBS INDUSTRIES,2020-09-17,2025-09-17
MAL20096082T,AZWA HERBS URJ CAPSULES,NATURAL PRODUCT,AZWA PHARMA SDN BHD,EAST INDIA PHARMACEUTICAL WORKS LIMITED,2020-09-17,2025-09-17
MAL20096045NC,Powerlife Mecozin Cr + ALA Plus Tablet,HEALTH SUPPLEMENT,AESTHESUISSE SDN BHD,Esprit Care Sdn. Bhd.,2020-09-17,2025-09-17
MAL20096037NC,BIOGLAN Magnesium Amino Acid Chelate 1000mg Tablet ,HEALTH SUPPLEMENT,PharmaCare (Asia) Sdn Bhd,Vitex Pharmaceuticals Pty Ltd,2020-09-17,2025-09-17
MAL15090011T,Pro-stisol Aloe Vera Plus Tablet,NATURAL PRODUCT,PRO STISOL MANUFACTURING,PRO STISOL MANUFACTURING,2020-09-29,2025-09-29
MAL15095006NC,TOCOPAMINáµ€á´¹ Softgel Capsule,HEALTH SUPPLEMENT,QUANTUM UPSTREAM SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.,2020-09-29,2025-09-29
MAL15095011TC,VIXGO MEN HERBS CAPSULE,NATURAL PRODUCT,WORLDCLASS TRADE & INDUSTRIES,RUZA RESOURCES MANUFACTURING SDN BHD,2020-10-01,2025-10-01
MAL05092242XC,Pureen Nappy Rash Cream,NON PRESCRIPTION,SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD,NATURAL WELLNESS INDUSTRIES SDN. BHD. (MILIK PENUH NUTRIVENTION SDN. BHD),2020-10-02,2025-10-02
MAL20106029NC,Biotective MAGNESIUM 100mg TABLET,HEALTH SUPPLEMENT,AESTHESUISSE SDN BHD,Esprit Care Sdn. Bhd.,2020-10-22,2025-10-22
MAL20106132TC,MEGALIVE MANPROST CAPSULE ,NATURAL PRODUCT,MegaLive BioSciences Sdn Bhd,EXCEL HERBAL INDUSTRIES SDN. BHD.,2020-10-22,2025-10-22
MAL19912774X,ENERVON-C TABLET,NON PRESCRIPTION,UNAM PHARMACEUTICAL (M) SDN. BHD.,UNITED LABS INC,2020-10-27,2025-10-27
MAL05092425TC,GHP TRADITIONAL AMERICAN WILD GINSENG CAPSULE,NATURAL PRODUCT,GMP PRODUCTS MARKETING SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2020-11-02,2025-11-02
MAL15095008TC,myHEIGENBAO Capsule,NATURAL PRODUCT,KPI ORGANIC HERBS,QD HERBS SDN. BHD.,2020-11-02,2025-11-02
MAL20001961X,KORDEL'S CO-ENZYME Q10 60MG CAPSULES,HEALTH SUPPLEMENT,CAMBERT(M) SDN. BHD.,NATURAL FACTORS NUTRITIONAL PRODUCTS LTD,2020-11-03,2025-11-03
MAL20116106TC,VC SUN Chlorella Tablet 200mg,NATURAL PRODUCT,VC FUTURE SDN BHD,"Qualitech Pharma Co., Ltd.",2020-11-18,2025-11-18
MAL20116127NCR,BiO-LiFE Asta-Vizion Softgel Capsules,HEALTH SUPPLEMENT,BIO-LIFE MARKETING SDN. BHD.,Mega Lifesciences Public Company Limited,2020-11-18,2025-11-18
MAL20116093TC,NUTRIBRIDGE MENZ CAPSULE,NATURAL PRODUCT,NUTRIBRIDGE (MALAYSIA) SDN. BHD.,Bioalpha International Sdn. Bhd.,2020-11-18,2025-11-18
MAL20126051NC,MegaLive HNS Glo Capsule,HEALTH SUPPLEMENT,MegaLive BioSciences Sdn Bhd,Esprit Care Sdn. Bhd.,2020-12-14,2025-12-14
MAL15120007TC,PS 21 Capsule,NATURAL PRODUCT,New Yee Wai Trading,FERNO INDUSTRIES SDN. BHD.,2020-12-23,2025-12-23
MAL15125001NCRZ,BLACKMORES VITAMIN C 500MG TABLET,HEALTH SUPPLEMENT,BLACKMORES (MALAYSIA) SDN. BHD.,Lipa Pharmaceuticals Limited,2020-12-23,2025-12-23
MAL20002652ARZ,BLOPRESS TABLET 8MG,NEW CHEMICAL ENTITY,Takeda Malaysia Sdn Bhd,TAKEDA PHARMACEUTICAL COMPANY LIMITED,2020-12-25,2025-12-25
MAL09103047TC,JEOU-SHUN LINGZHI,NATURAL PRODUCT,DOUBLE CRANE CORPORATION SDN BHD,Ming Yi Holding Sdn Bhd,2020-12-26,2025-12-26
MAL09103048TC,JEOU-SHUN NATURAL POLLEN,NATURAL PRODUCT,DOUBLE CRANE CORPORATION SDN BHD,Ming Yi Holding Sdn Bhd,2020-12-26,2025-12-26
MAL16015052NC,4Life TRI-FACTOR FORMULA CAPSULE,HEALTH SUPPLEMENT,Forlife Research Imports Sdn. Bhd.,"Biomedical Research Laboratories, LLC",2021-01-07,2026-01-07
MAL16010007T,Pro-stisol Strengthening Muscle & Bone Tablet,NATURAL PRODUCT,PRO STISOL MANUFACTURING,PRO STISOL MANUFACTURING,2021-01-08,2026-01-08
MAL21016024AE,YSP Hydroxychloroquine Film Coated Tablet 200mg,PRESCRIPTION,Y.S.P. INDUSTRIES (M) SDN. BHD.,Y.S.P. INDUSTRIES (M) SDN. BHD.,2021-01-08,2026-01-08
MAL16010036T,Cran Lite Cranberry 830mg Effervescent Powder (Lemonade flavour),NATURAL PRODUCT,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2021-01-08,2026-01-08
MAL21016039NE,NatureRich Probio Plus Capsule,HEALTH SUPPLEMENT,GN NEUTRICEUTICALS SDN. BHD.,GN NEUTRICEUTICALS SDN. BHD.,2021-01-14,2026-01-14
MAL16010061T,YuYuMin KOREAMIN GINKGO BILOBA 40MG SOFTGEL,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2021-01-14,2026-01-14
MAL16020015TC,bioVERSA Neuricid Capsule,NATURAL PRODUCT,Savan Biologic (M) Sdn Bhd,Dong Foong Manufacturing Sdn Bhd,2021-02-02,2026-02-02
MAL21026075T,Pro-stisol Safflower Plus Tablet,NATURAL PRODUCT,PRO STISOL MANUFACTURING,PRO STISOL MANUFACTURING,2021-02-18,2026-02-18
MAL21026123N,Dale & Cecil MIWACARE VIT C+ powder,HEALTH SUPPLEMENT,OMEGA HEALTH PRODUCTS SDN BHD,OMEGA HEALTH PRODUCTS SDN BHD,2021-02-18,2026-02-18
MAL20002574TC,NONI CAPSULES,NATURAL PRODUCT,NUTRINATURE HOLDING SDN. BHD.,NUTRIPHARMA SDN. BHD.,2022-09-01,2026-03-02
MAL20001986TC,PROPOLIS CAPSULE,NATURAL PRODUCT,NUTRINATURE HOLDING SDN. BHD.,NUTRIPHARMA SDN. BHD.,2022-09-01,2026-03-02
MAL16030033HA,MARBOXIN 10% Injection,VETERINARY ,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.,2021-03-12,2026-03-12
MAL16030033HA,MARBOXIN 10% Injection,VETERINARY ,RANGE PHARMA SDN. BHD.,,2021-03-12,2026-03-12
MAL06030877XC,Nutriforte Non-Acidic Vitamin C 1000 mg with Bioflavonoids,HEALTH SUPPLEMENT,PHARMAFORTE (MALAYSIA) SDN. BHD.,ECKHART CORPORATION,2021-03-26,2026-03-26
MAL16030055T,NAQI Black Seed Oil 500mg Softgel,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2021-04-02,2026-04-02
MAL16030056T,NAQI Olive Oil 500mg Softgel,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2021-04-02,2026-04-02
MAL21046120TCE,Zenwell nutrition VisiGard capsule,NATURAL PRODUCT,NATURAL COSMOTECH SDN BHD,MAJOR INTEREST SDN BHD,2021-04-20,2026-04-20
MAL20162595HA,AVIACOX 2.5% SOLUTION,VETERINARY ,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.,2021-04-29,2026-04-29
MAL20012942TC,GUARANA GINSENG,NATURAL PRODUCT,NUTRINATURE HOLDING SDN. BHD.,NUTRIPHARMA SDN. BHD.,2022-09-01,2026-04-29
MAL20162596HA,PIGICOX 5% SUSPENSION,VETERINARY ,RANGE PHARMA SDN. BHD.,RANGE PHARMA SDN. BHD.,2021-04-29,2026-04-29
MAL20012941TC,GREEN TEA 500MG CAPSULES,NATURAL PRODUCT,NUTRINATURE HOLDING SDN. BHD.,NUTRIPHARMA SDN. BHD.,2022-09-01,2026-04-29
MAL16040043T,YuYuMin GINSAM  PANAX GINSENG 50 MG SOFTGEL,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2021-05-07,2026-05-07
MAL16050010T,MINSYAM VIRGIN COCONUT OIL 500MG SOFTGEL,NATURAL PRODUCT,Minsyam Pharma Sdn Bhd,Minsyam Pharma Sdn Bhd,2021-05-13,2026-05-13
MAL21056091TC,G-MAX Mulberry Plus Tablets,NATURAL PRODUCT,GMAX  QOL RESOURCES,HERBAL SCIENCE SDN. BHD.,2021-05-20,2026-05-20
MAL21056084TC,MegaLive Natolic Gold Capsule,NATURAL PRODUCT,MegaLive BioSciences Sdn Bhd,Bioalpha International Sdn. Bhd.,2021-05-20,2026-05-20
MAL16050031TC,NS KACIP FATIMAH 100MG CAPSULE,NATURAL PRODUCT,NATURE SPIRIT SCIENCE RESEARCH SDN. BHD.,Reishilab Sdn Bhd,2021-05-24,2026-05-24
MAL06051407XZ,Vitasen C 250 Chewable Tablet ( Juicy Citrus ),HEALTH SUPPLEMENT,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2021-06-01,2026-06-01
MAL20013515TC,CHLORELLA 500 TABLETS,NATURAL PRODUCT,NUTRINATURE HOLDING SDN. BHD.,NUTRIPHARMA SDN. BHD.,2022-09-01,2026-06-10
MAL16060040T,PRO-STISOL LEONURUS PLUS TABLET,NATURAL PRODUCT,PRO STISOL MANUFACTURING,PRO STISOL MANUFACTURING,2021-06-16,2026-06-16
MAL21066070NC,myISABELLE Tablet,HEALTH SUPPLEMENT,SIX BEAUTY AESTHETICS (M) SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.,2021-06-23,2026-06-23
MAL21066132TC,NATURE SPIRIT SESSILE JOYWEED EXTRACT 100MG CAPSULES,NATURAL PRODUCT,NATURE SPIRIT SCIENCE RESEARCH SDN. BHD.,Reishilab Sdn Bhd,2021-06-23,2026-06-23
MAL21066093NC,SHAKLEE OSTENUTRIX CAPLET,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,NATURAL ALTERNATIVES INTERNATIONAL INC,2021-06-23,2026-06-23
MAL06061657TC,Eastrolax Capsule,NATURAL PRODUCT,CONFORER MEDI CARE  ENTERPRISE,WHITE HERON PHARMACEUTICAL SDN. BHD.,2021-07-02,2026-07-02
MAL21076066TC,PureMed Ocumaz Capsule,NATURAL PRODUCT,Pure Medisciences (M) Sdn Bhd,Esprit Care Sdn. Bhd.,2021-07-12,2026-07-12
MAL06071228T,Xin Yi Qing Fei Yin  ( Granules ),NATURAL PRODUCT,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,SUN TEN PHARM CO LTD,2021-07-30,2026-07-30
MAL06071230T,Ping Wei San (Granules),NATURAL PRODUCT,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,SUN TEN PHARM CO LTD,2021-07-30,2026-07-30
MAL20013838X,ALERTEN Q25 EMULCAP,HEALTH SUPPLEMENT,MEGA LIFESCIENCES SDN. BHD.,Mega Lifesciences Public Company Limited,2021-07-30,2026-07-30
MAL06071194TC,Conforer Global D™Mur Capsule,NATURAL PRODUCT,CONFORER MEDI CARE  ENTERPRISE,WHITE HERON PHARMACEUTICAL SDN. BHD.,2021-07-30,2026-07-30
MAL06071334T,BTY SHENG TIAN QI PIAN (Tablet),NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.,2021-08-05,2026-08-05
MAL06061578T,BTY BAO HE PIAN (Tablet),NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.,2021-08-05,2026-08-05
MAL06071320T,BTY JI XUE TENG PIAN (Tablet),NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.,2021-08-05,2026-08-05
MAL06061579T,BTY QI JU DI HUANG PIAN (Tablet),NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.,2021-08-05,2026-08-05
MAL06071277T,BTY SANG JU HE JI (Liquid),NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.,2021-08-05,2026-08-05
MAL16080013TC,Vitamode Sleep Eazy Capsule,NATURAL PRODUCT,Vitamode  Sdn.bhd,YANLING NATURAL HYGIENE SDN. BHD.,2021-08-12,2026-08-12
MAL21086041NC,KAYRA GLOW CHEWABLE TABLET,HEALTH SUPPLEMENT,KAYRA HEALTH & BEAUTY SDN.BHD,RUZA RESOURCES MANUFACTURING SDN BHD,2021-08-19,2026-08-19
MAL21086093TC,BRK GAMMAZ OIL,NATURAL PRODUCT,CHEMPAKA PUTEH ENTERPRISE,MH SAUJANA ENTERPRISE,2021-08-19,2026-08-19
MAL21086028NC,LAC Vitamin D3 1000IU Softgel,HEALTH SUPPLEMENT,LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD.,EARTH'S CREATION USA,2021-08-19,2026-08-19
MAL11080020XCR,QUINOL,HEALTH SUPPLEMENT,WELLESTA TRUELIFE SDN. BHD.,"SOFT GEL TECHNOLOGIES, INC.",2021-08-27,2026-08-27
MAL06081354T,Sang Ju Yin  (Granules),NATURAL PRODUCT,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,SUN TEN PHARM CO LTD,2021-08-27,2026-08-27
MAL06081291T,Bukit Mertajam Herbal Oil,NATURAL PRODUCT,HOON HEANG TONG SDN BHD,HOON HEANG TONG SDN BHD,2021-08-27,2026-08-27
MAL06081292T,Medicated Pak Chow Oil,NATURAL PRODUCT,HOON HEANG TONG SDN BHD,HOON HEANG TONG SDN BHD,2021-08-27,2026-08-27
MAL06081294T,Salap Berubat Buah Pala Herbanika,NATURAL PRODUCT,HOON HEANG TONG SDN BHD,HOON HEANG TONG SDN BHD,2021-08-27,2026-08-27
MAL06081355T,Yin Qiao San Concoction (Granules),NATURAL PRODUCT,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,SUN TEN PHARM CO LTD,2021-08-27,2026-08-27
MAL06081293T,Nutmeg Oil,NATURAL PRODUCT,HOON HEANG TONG SDN BHD,HOON HEANG TONG SDN BHD,2021-08-27,2026-08-27
MAL20061584AZ,MICTONORM TABLET,PRESCRIPTION,PHARMAFORTE (MALAYSIA) SDN. BHD.,APOGEPHA ARZNEIMITTEL GMBH,2021-08-28,2026-08-28
MAL16095009N,Melaleuca DEEPWATER OMEGA-3 Softgel,HEALTH SUPPLEMENT,Melaleuca Southeast Asia (malaysia) Sdn. Bhd.,Melaleuca Inc.,2021-09-08,2026-09-08
MAL16085041TC,Bao Jian Ping Gan Wan,NATURAL PRODUCT,PAO KIAN PHYSICIAN HERBAL SDN. BHD.,WHITE HERON PHARMACEUTICAL SDN. BHD.,2021-09-09,2026-09-09
MAL11070038T,JT Clear Heat,NATURAL PRODUCT,Jin Teik Organic Health Food Sdn Bhd,Jin Teik Organic Health Food Sdn Bhd,2021-09-09,2026-09-09
MAL06081271T,BTY CHUAN XIN LIAN PIAN (Tablet),NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.,2021-09-09,2026-09-09
MAL20061517T,MAJUN PAK TANI UBI JAGA PLUS,NATURAL PRODUCT,PERUSAHAAN JAMU ARJUNA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.,2021-09-09,2026-09-09
MAL21096090TC,aspen nutrition Arleve Capsule ,NATURAL PRODUCT,ASPEN SARL SDN. BHD.,MAJOR INTEREST SDN BHD,2021-09-23,2026-09-23
MAL21096037NCR,VITAHEALTH CHARGE-UP MAG-EASE TABLET,HEALTH SUPPLEMENT,VITAHEALTH BIOTECH SDN BHD,Alfa Vitamins Laboratories Inc.,2021-09-23,2026-09-23
MAL21096098TC,PRESMEDIC BREAZKARE CAPSULE,NATURAL PRODUCT,SUNRISE PHARMA SDN BHD,GANOFARM R&D SDN BHD,2021-09-23,2026-09-23
MAL16090040TC,NS TONGKAT ALI 100MG CAPSULE,NATURAL PRODUCT,NATURE SPIRIT SCIENCE RESEARCH SDN. BHD.,Reishilab Sdn Bhd,2021-09-23,2026-09-23
MAL11095031T,JT Lady,NATURAL PRODUCT,Jin Teik Organic Health Food Sdn Bhd,Jin Teik Organic Health Food Sdn Bhd,2021-09-28,2026-09-28
MAL06091496T,Xiao Chai Hu Tang Extract Granules,NATURAL PRODUCT,SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD.,SUN TEN PHARM CO LTD,2021-10-01,2026-10-01
MAL06091463XC,BioGaia Probiotic drops,HEALTH SUPPLEMENT,Pharma Ace Sdn. Bhd.,SANICO N.V.,2021-10-01,2026-10-01
MAL16100030TC,Puremed-LiviCare (Capsule),NATURAL PRODUCT,Pure Medisciences (M) Sdn Bhd,Bioalpha International Sdn. Bhd.,2021-10-20,2026-10-20
MAL21106068NC,SWISSE ULTIVITE E-SENTIAL MULTIVITAMIN PLUS TABLET,HEALTH SUPPLEMENT,HEALTH AND HAPPINESS (H&H) MALAYSIA SDN. BHD.,Vitex Pharmaceuticals Pty Ltd,2021-10-27,2026-10-27
MAL21106116T,Pro-stisol Rehmannia Plus Tablet,NATURAL PRODUCT,PRO STISOL MANUFACTURING,PRO STISOL MANUFACTURING,2021-10-27,2026-10-27
MAL16105021XZ,OSMOLAX LACTULOSE ORAL SOLUTION USP 0.68G/ML,NON PRESCRIPTION,MEDISPEC (M) SDN. BHD.,SQUARE PHARMACEUTICALS LTD,2021-11-01,2026-11-01
MAL16110043TC,CROWN HERBAL EXTRACT CAPSULE,NATURAL PRODUCT,CHOSEN BARK TEA SDN BHD,PUSAT TEKNOLOGI HERBA,2021-11-05,2026-11-05
MAL16115024N,Melaleuca CoreMega EPA/DHA Softgels,HEALTH SUPPLEMENT,Melaleuca Southeast Asia (malaysia) Sdn. Bhd.,Melaleuca Inc.,2021-11-16,2026-11-16
MAL06100710T,BTY YIN QIAO JIE DU HE JI (Liquid),NATURAL PRODUCT,BTY WORLDWIDE SDN.BHD.,BTY WORLDWIDE SDN.BHD.,2021-11-17,2026-11-17
